risk_threshold,confidence_threshold,risk_accuracy,precision,recall,false_negative_rate,false_positive_rate,f1,expected_fast_selection_rate,expected_accurate_selection_rate,expected_oracle_gap
0.8,0.8,0.485,0.2490118577075099,0.7974683544303798,0.20253164556962025,0.5919003115264797,0.3795180722891566,0.3625,0.6375,0.0375
0.8,0.9,0.485,0.2490118577075099,0.7974683544303798,0.20253164556962025,0.5919003115264797,0.3795180722891566,0.2625,0.7375,0.0125
0.8,0.95,0.485,0.2490118577075099,0.7974683544303798,0.20253164556962025,0.5919003115264797,0.3795180722891566,0.155,0.845,0.0
0.85,0.0,0.51,0.25316455696202533,0.759493670886076,0.24050632911392406,0.5514018691588785,0.379746835443038,0.4075,0.5925,0.0475
0.85,0.1,0.51,0.25316455696202533,0.759493670886076,0.24050632911392406,0.5514018691588785,0.379746835443038,0.4075,0.5925,0.0475
0.85,0.2,0.51,0.25316455696202533,0.759493670886076,0.24050632911392406,0.5514018691588785,0.379746835443038,0.4075,0.5925,0.0475
0.85,0.3,0.51,0.25316455696202533,0.759493670886076,0.24050632911392406,0.5514018691588785,0.379746835443038,0.4075,0.5925,0.0475
0.85,0.4,0.51,0.25316455696202533,0.759493670886076,0.24050632911392406,0.5514018691588785,0.379746835443038,0.4075,0.5925,0.0475
0.85,0.5,0.51,0.25316455696202533,0.759493670886076,0.24050632911392406,0.5514018691588785,0.379746835443038,0.4075,0.5925,0.0475
0.85,0.6,0.51,0.25316455696202533,0.759493670886076,0.24050632911392406,0.5514018691588785,0.379746835443038,0.4075,0.5925,0.0475
0.85,0.7,0.51,0.25316455696202533,0.759493670886076,0.24050632911392406,0.5514018691588785,0.379746835443038,0.405,0.595,0.0475
0.85,0.8,0.51,0.25316455696202533,0.759493670886076,0.24050632911392406,0.5514018691588785,0.379746835443038,0.4025,0.5975,0.045
0.85,0.9,0.51,0.25316455696202533,0.759493670886076,0.24050632911392406,0.5514018691588785,0.379746835443038,0.27,0.73,0.0125
0.85,0.95,0.51,0.25316455696202533,0.759493670886076,0.24050632911392406,0.5514018691588785,0.379746835443038,0.155,0.845,0.0
0.9,0.0,0.5375,0.2590909090909091,0.7215189873417721,0.27848101265822783,0.5077881619937694,0.3812709030100334,0.45,0.55,0.055
0.9,0.1,0.5375,0.2590909090909091,0.7215189873417721,0.27848101265822783,0.5077881619937694,0.3812709030100334,0.45,0.55,0.055
0.9,0.2,0.5375,0.2590909090909091,0.7215189873417721,0.27848101265822783,0.5077881619937694,0.3812709030100334,0.45,0.55,0.055
0.9,0.3,0.5375,0.2590909090909091,0.7215189873417721,0.27848101265822783,0.5077881619937694,0.3812709030100334,0.45,0.55,0.055
0.9,0.4,0.5375,0.2590909090909091,0.7215189873417721,0.27848101265822783,0.5077881619937694,0.3812709030100334,0.45,0.55,0.055
0.9,0.5,0.5375,0.2590909090909091,0.7215189873417721,0.27848101265822783,0.5077881619937694,0.3812709030100334,0.45,0.55,0.055
0.9,0.6,0.5375,0.2590909090909091,0.7215189873417721,0.27848101265822783,0.5077881619937694,0.3812709030100334,0.45,0.55,0.055
0.9,0.7,0.5375,0.2590909090909091,0.7215189873417721,0.27848101265822783,0.5077881619937694,0.3812709030100334,0.4475,0.5525,0.055
